Thw,Thwi,Tcw,Tcwi,mc,Thwo
64.1,59.9,15.3,14.8,3,48.7
64,59.9,15.2,14.8,3,48.7
64.1,59.9,15.2,14.8,3,48.7
64.1,59.9,15.4,14.6,3,48.7
64,60.1,15.3,14.6,3,48.7
64,60.1,15.3,14.6,3,48.7
64,60.1,15.2,14.8,3,48.7
64,60.1,15.2,14.8,3,48.9
64,60.1,15.2,14.8,3,48.9
64,60.1,15.2,14.8,3,48.9
64,60.1,15.2,14.8,3,48.9
64,60.1,15.2,14.8,3,48.9
64,60.1,15.2,14.8,3,48.9
64,60.1,15.2,14.8,3,48.9
64,60.1,15.3,14.8,3,48.9
64,60.1,15.2,14.8,3,49.2
64,60.1,15.3,14.8,3,49.2
64.1,60.1,15.3,14.8,3,49.2
64,60.1,15.2,14.8,3,49.2
64,60.1,15.2,14.8,3,49.2
64.1,60.1,15.2,14.8,3,49.2
64,60.3,15.3,14.8,3,49.2
64,60.3,15.3,14.8,3,49.2
64,60.3,15.3,14.8,3,49.2
64.1,60.3,15.2,14.8,3,49.2
64.2,60.3,15.3,14.8,3,49.2
64,60.3,15.3,14.8,3,49.2
64,60.3,15.3,14.8,3,49.2
64,60.3,15.2,14.8,3,49.2
64.1,60.3,15.2,14.8,3,49.2
64,60.3,15.3,14.8,3,49.2
64.1,60.3,15.2,14.8,3,49.2
64,60.3,15.3,14.8,3,49.2
64.1,60.3,15.3,14.8,3,49.2
64.1,60.3,15.3,14.8,3,49.2
64,60.3,15.2,14.8,3,49.3
64,60.3,15.2,14.8,3,49.3
64,60.1,15.3,14.8,3,49.3
64,60.1,15.3,14.8,3,49.3
64.1,59.9,15.3,14.8,3,49.3
64,59.9,15.2,14.8,3,49.3
64,59.9,15.2,14.8,3,49.3
64,59.8,15.3,14.8,3,49.3
64,59.8,15.3,14.8,3,49.3
64,59.8,15.2,14.8,3,49.3
64,59.8,15.3,14.8,3,49.3
64.1,59.8,15.3,14.8,3,49.3
64,59.8,15.3,14.8,3,49.3
64.1,59.8,15.3,14.8,3,49.3
64.1,59.9,15.2,14.8,3,49.3
64,59.9,15.3,14.8,3,49.2
64,59.9,15.3,14.8,3,49.2
64,59.9,15.3,14.8,3,49.2
64.2,59.9,15.3,14.8,3,49.2
64.1,59.9,15.2,14.8,3,49.2
64.2,59.9,15.4,14.8,3,49.2
64,59.9,15.3,14.8,3,49.2
64,59.9,15.3,14.8,3,49.2
64.1,60.1,15.2,14.8,3,49.2
64,60.1,15.3,14.8,3,49.2
64,60.1,15.3,14.8,3,49.2
64.1,60.1,15.3,14.8,3,49.2
64,60.1,15.2,14.8,3,49.2
64,60.1,15.2,14.8,3,49.2
64,60.1,15.3,14.8,3,49.2
64.1,60.1,15.2,14.8,3,49.2
64,60.1,15.3,14.8,3,49.2
64,60.1,15.2,14.8,3,49.2
64.1,60.1,15.3,14.8,3,49.2
64,60.1,15.2,14.8,3,49.2
64,60.1,15.3,14.8,3,49.2
64,60.3,15.3,14.8,3,49.2
64,60.3,15.2,14.8,3,49.2
64,60.3,15.2,14.8,3,49.2
64,60.3,15.3,14.8,3,49.2
64.1,60.3,15.2,14.8,3,49.4
64,60.3,15.3,14.8,3,49.4
64.2,60.3,15.2,14.8,3,49.2
64.1,60.3,15.3,14.8,3,49.2
64,60.3,15.3,14.8,3,49.2
64,60.3,15.3,14.8,3,49.2
64,60.3,15.2,14.8,3,49.2
64,60.3,15.2,14.8,3,49.2
64,60.3,15.3,14.8,3,49.2
64,60.3,15.3,14.8,3,49.2
64,60.3,15.3,14.8,3,49.2
64.1,60.1,15.3,14.8,3,49.2
64,60.1,15.3,14.8,3,49.2
64.1,60.1,15.3,14.8,3,49.3
64,59.9,15.2,14.8,3,49.3
64,59.9,15.3,14.8,3,49.2
64,60.1,15.3,14.9,3,49.5
64,60.1,15.2,14.9,3,49.5
63.9,60.1,15.3,14.8,3,49.3
64,60.1,15.3,14.8,3,49.3
64,60.1,15.3,14.8,3,49.3
64,60.1,15.3,14.8,3,49.3
64,60.1,15.2,14.8,3,49.3
64,60.1,15.2,14.8,3,49.3
64,60.1,15.3,14.8,3,49.3
64,60.1,15.3,14.8,3,49.3
64,60.1,15.3,14.8,3,49.3
64,60.1,15.3,14.8,3,49.3
64,60.3,15.3,14.8,3,49.3
64,60.3,15.3,14.8,3,49.3
64.1,60.3,15.3,14.8,3,49.3
