Thw,Thwi,Tcw,Tcwi,mc,Thwo
63.4,60.1,15,15,3.1,49.6
63.4,60.1,15,15,3,49.6
63.4,60.1,15,15,3.1,49.6
63.5,60.1,15.1,15,3.1,49.6
63.4,60.1,15.1,15,3,49.8
63.5,60.1,15.2,15,3.1,49.9
63.5,60.1,15.1,15,3.1,49.9
63.4,60.1,15.1,15,3.1,49.9
63.4,60.1,15.1,15,3.1,49.9
63.4,60.1,15.1,15,3.1,49.9
63.4,60.1,15,15,3.1,49.9
63.4,60.1,15.2,15,3.1,49.9
63.4,60.1,15.1,15,3.1,49.9
63.4,60.1,15.2,15,3.1,49.9
63.3,60.1,15.1,15,3.1,49.9
63.4,60.1,15,15,3.1,49.9
63.3,60.1,15.1,15,3.1,49.9
63.3,60.1,15.2,15,3.1,49.9
63.4,60.1,15,15,3,49.9
63.3,60.1,15,15,3.1,49.9
63.3,60.1,15,15,3,49.9
63.4,60.1,15,15,3,49.9
63.3,60.1,15,15,3,49.9
63.3,60.1,15,15,3.1,49.9
63.4,60.1,15.1,15,3.1,49.9
63.4,60.1,15.1,15,3.1,49.9
63.4,60.1,15.1,15,3,49.9
63.4,60.1,15.1,15,3.1,49.9
63.3,60.1,15.1,15,3.1,49.9
63.4,60.1,15.1,15,3.1,49.9
63.4,60.1,15.1,15,3.1,49.9
63.4,60.1,15.1,15,3,49.9
63.4,60.1,15.1,15,3,49.9
63.3,60.1,15,15,3,49.9
63.3,60.1,15.1,15,3,49.9
63.4,60.1,15.1,15,3,49.9
63.4,60.1,15,15,3.1,49.9
63.3,60.1,15,15,3.1,49.9
63.4,60.1,15,15,3,49.9
63.3,60.1,15.1,15,3,49.9
63.4,60.1,15,15,3.1,49.9
63.3,60.1,15,15,3.1,49.9
63.3,60.1,15,15,3.1,49.9
63.3,60.1,15,15,3,49.9
63.3,60.1,15,15,3.1,49.9
63.4,60.1,15,15,3.1,49.9
63.3,60.1,15,15,3.1,49.9
63.3,60.1,14.9,15,3,50.1
63.3,60.1,14.9,15,3.1,50.1
63.3,60.1,15,15,3.1,50.1
63.3,60.1,15.1,15,3.1,50.1
63.3,60.1,15,15,3,50.1
63.3,60.1,15,15,3.1,50.1
63.4,60.3,15,15,3,50.1
63.2,60.3,15,15,3.1,50.1
63.3,60.3,15,15,3.1,50.4
63.3,60.3,15,15,3,50.4
63.3,60.3,15,15,3,50.4
63.2,60,14.9,15,3.1,50.4
63.3,60,15,15,3,50.4
63.3,60,15,15,3.1,50.3
63.3,60,15,15,3.1,50.3
63.2,60,15.1,15,3.1,50.3
63.2,60,15,15,3,50.3
63.2,60,15,15,3,50.3
63.2,60,15.1,15,3.1,50
63.2,60,15.1,15,3.1,50
63.2,60,15,15,3.1,50
63.2,60,15,15,3,50
63.3,60,15,15,3,50
63.2,60,15,15,3.1,50
63.1,60,15,15,3.1,50
63.2,60,15,15,3,49.8
63.2,60,15.1,15,3.1,49.8
63.2,60,15,15,3,49.8
63.2,60,15.1,15,3.1,49.8
63.3,60,15.1,15,3,49.8
63.2,60,15.1,15,3.1,49.8
63.2,60,15,15,3.1,49.8
63.2,60,15,15,3.1,49.8
63.2,60,15,15,3.1,49.8
63,60,15,15,3.1,49.8
63.1,60,15,15,3,49.8
63.1,60,15,15,3.1,49.8
63.1,60,15,15,3.1,49.8
63.1,60,15,15,3,49.8
63.1,60,15,15,3,49.8
63.1,60,14.9,15,3.1,49.8
63.1,60,15,15,3.1,49.8
63.2,60,14.9,15,3.1,49.9
61.1,60,15,14.9,3,49.6
60.8,60,15,14.9,3.1,49.6
60.5,60,15,14.9,3.1,49.6
60.4,60,15.1,14.9,3.1,49.6
60.3,60,15.1,14.8,3.1,50.5
60.2,60,15.1,14.8,3,50.5
60,60,15.1,14.8,3.1,50.5
60.1,60,15.1,14.8,3,50.5
60,60,15,14.9,3.1,50.5
60,60,15,14.9,3.1,50.5
60,60,15,14.9,3.1,50.5
60,60,15,14.9,3,50.5
60,60,15,14.9,3.1,50.5
60,60,15.1,14.9,3.1,50.5
60,60,15,14.9,3.1,50.5
60,60,15,14.9,3.1,50.5
59.9,60,15.1,14.9,3,50.5
59.9,60,15,14.9,3.1,50.5
63.8,60.2,15.4,15.1,4,48.4
63.7,60.2,15.4,15.1,4.1,48.4
63.7,60.2,15.4,15.1,4.1,48.6
63.7,60.2,15.3,15.1,4,48.6
63.7,60.2,15.4,15.1,4,48.6
63.7,60.2,15.4,15.1,4,48.6
63.7,60.2,15.3,15.1,4,48.5
63.7,60.2,15.4,15.1,4.1,48.5
63.7,60.2,15.3,15.1,4,48.5
63.8,60.2,15.4,14.9,4,48.8
63.8,60.2,15.4,14.9,4,48.8
63.8,60.2,15.5,14.9,4.1,48.8
63.8,60.2,15.5,14.9,4,48.6
63.8,60.2,15.5,14.9,4,48.6
63.8,60.2,15.4,14.9,4.1,48.6
63.8,60.2,15.3,14.9,4.1,48.6
63.8,60.2,15.5,14.9,4.1,48.6
63.8,60.2,15.4,14.9,4.1,48.6
63.7,60.2,15.5,14.9,4.1,48.6
63.8,60.2,15.4,14.9,4.1,48.6
63.8,60.2,15.5,14.9,4.1,48.6
63.8,60.2,15.4,14.9,4,48.6
63.8,60.2,15.5,14.9,4.1,48.6
63.8,60.2,15.4,14.9,4.1,48.6
63.7,60.2,15.4,14.9,4.1,48.6
63.7,60.2,15.5,14.9,4.1,48.6
63.8,60.2,15.5,14.9,4.1,48.6
63.8,60.2,15.4,14.9,4.1,48.6
63.8,60.2,15.4,14.9,4.1,48.6
63.8,60.2,15.4,14.9,4.1,48.6
63.8,60.2,15.5,14.9,4.1,48.6
63.7,60.2,15.5,14.9,4.1,48.6
63.8,60.2,15.4,14.9,4.1,48.6
63.8,60.2,15.4,14.9,4.1,48.6
63.8,60.2,15.5,14.9,4.1,48.6
63.8,60.2,15.5,14.9,4.1,48.6
63.8,60.2,15.4,14.9,4.1,48.7
63.7,60.2,15.5,14.9,4,48.7
63.7,60.2,15.4,14.9,4.1,48.7
63.7,60.2,15.5,14.9,4,48.7
63.8,60.2,15.5,14.9,4,48.7
63.8,60.2,15.5,14.9,4.1,48.7
63.8,60.2,15.5,14.9,4,48.7
63.6,60.2,15.3,14.9,4.1,48.7
63.6,60.2,15.4,14.9,4.1,48.7
63.7,60.2,15.4,14.9,4,48.7
63.7,60.2,15.5,14.9,4,48.5
63.8,60.2,15.5,14.9,4.1,48.6
63.8,60.2,15.4,14.9,4.1,48.7
63.7,60.2,15.5,14.9,4.1,48.7
63.8,60.2,15.5,14.9,4.1,48.7
63.7,60.2,15.5,14.9,4,48.7
63.8,60.2,15.5,14.9,4.1,48.7
63.7,60.2,15.3,14.9,4.1,48.7
63.7,60.2,15.5,14.9,4.1,48.7
63.8,60.2,15.5,14.9,4.1,48.5
63.7,60.2,15.5,14.9,4.1,48.5
63.7,60.2,15.5,14.9,4,48.8
63.7,60.2,15.5,14.9,4.1,48.6
