Thw,Thwi,Tcw,Tcwi,mc,Thwo
63.4,60.2,15.5,15.1,6,47.9
63.4,60.2,15.6,15.1,6.1,48
63.4,60.2,15.5,15.1,6,48
63.3,60.2,15.6,15.1,6,48
63.4,60.2,15.6,15.1,6,48
63.4,60.2,15.6,15.1,6,48
63.4,60.2,15.6,15.1,6,48
63.4,60.2,15.6,15.1,6.1,48
63.4,60.2,15.6,15.1,6,48
63.4,60.2,15.6,15.1,6,48
63.4,60.2,15.6,15.1,6,48
63.4,59.8,15.6,15.1,6,48
63.4,59.8,15.6,15.1,6,48
63.4,59.8,15.6,15.1,6,48
63.4,59.8,15.6,15.1,6,48
63.4,59.8,15.5,15.1,6,48
63.4,59.8,15.6,15.1,6,48
63.4,59.8,15.5,15.1,6,48
63.4,59.8,15.6,15.1,6,48.2
63.3,59.8,15.6,15.1,6,48.1
63.4,59.8,15.6,15.1,6,48.1
63.3,59.8,15.6,15.1,6,48.1
63.3,59.8,15.6,15.1,6,48.1
63.4,59.8,15.6,15.1,6,48.1
63.4,59.9,15.6,15.1,6,48.1
63.4,59.9,15.6,15.1,6,48.1
63.4,59.9,15.6,15.1,6,48.1
63.4,59.9,15.6,15.1,6,48.1
63.3,59.9,15.5,15.1,6,48.1
63.4,59.9,15.6,15.1,6,48.1
63.4,59.9,15.6,15.2,6,48.1
63.4,59.9,15.5,15.1,6.1,48.1
63.4,59.9,15.6,15.1,6.1,48.1
63.3,60.1,15.6,15.1,6,48.1
63.4,60.1,15.6,15.1,6.1,48.1
63.4,60.1,15.5,15.1,6,48.1
63.4,60.1,15.5,15.1,6,48.1
63.3,60.1,15.6,15.1,6,48.1
63.3,60.1,15.5,15.1,6,48.1
63.4,60.1,15.5,15.1,6,48.1
63.4,60.1,15.6,15.1,6.1,48.1
63.3,60.1,15.6,15.1,6,48.1
63.4,60.1,15.5,15.1,6,48.1
63.4,60.1,15.5,15.1,6,48.1
63.4,60.1,15.5,15.1,6,48.1
63.4,60.1,15.5,15.1,6,48.1
63,60.1,15.6,15.1,6,48.1
62.9,60.1,15.6,15.1,6,48.1
62.8,60.1,15.6,15.1,6,48.1
62.8,59.9,15.6,15.1,6,48.1
62.7,59.9,15.6,15.1,6,48.1
62.8,59.9,15.5,15.1,6,48.1
62.8,59.9,15.6,15.1,6,48.1
62.9,59.9,15.6,15.1,6,48.1
62.9,59.9,15.5,15.1,6,48.1
62.8,59.9,15.5,15.1,6,48.1
62.9,59.9,15.6,15.1,6,48.1
62.9,59.9,15.6,15.1,6,48.1
62.7,59.9,15.5,15.1,6,48.1
62.6,59.9,15.6,15.1,6,48.1
62.6,59.9,15.6,15.1,6,48.1
62.6,59.9,15.5,15.1,5.9,48.1
62.5,59.9,15.6,15.1,6.1,48.1
62.3,59.9,15.5,15.1,6,48.1
62.3,59.9,15.6,15.1,6,48.1
62.2,59.9,15.6,15.1,6,48.1
62.2,59.9,15.5,15.1,6,48.1
62.2,59.9,15.6,15.1,6,48.1
62.3,59.9,15.5,15.1,6,48.1
62.4,59.9,15.6,15.1,6.1,48.1
62.3,60.1,15.5,15.1,6.1,48.1
62.3,60.1,15.5,15.1,6,48.1
62.5,60.1,15.4,15.1,6,48.1
62.6,60.1,15.5,15.1,6,48.1
62.6,60.1,15.6,15.1,6,48.1
62.6,60.1,15.5,15.1,6,48.1
62.5,60.1,15.5,15.1,6,48.1
62.5,60.1,15.6,15.1,6,48.1
62.5,60.1,15.5,15.1,6,48.1
62.5,60.1,15.6,15.1,6,48.1
62.6,60.1,15.6,15.1,6,48.1
62.5,60.1,15.5,15.1,6,48.1
62.6,60.1,15.5,15.1,6,48.1
62.7,60.1,15.6,15.1,6,48.1
62.5,60.1,15.6,15.1,6,48.1
62.5,60.1,15.6,15.1,6,48.1
62.5,60.1,15.5,15.1,6,48.1
62.6,60.1,15.5,15.1,6,48.1
62.5,60.1,15.5,15.1,6,48.1
62.5,60.1,15.5,15.1,6,48.1
62.6,60.1,15.4,15.1,6.1,48.1
62.6,60.1,15.5,15.1,6,48.1
62.6,60.1,15.4,15.1,6,48.1
62.6,60.1,15.6,15.1,6,48.1
62.6,60.1,15.4,15.1,6,48.1
62.6,60.1,15.5,15.1,6,48
62.7,60.1,15.4,15.1,6.1,48
62.6,60.1,15.5,15.1,6,48
62.7,60.1,15.5,15.1,6,48
62.6,60.1,15.5,15.1,6,48
62.7,60.1,15.6,15.1,6,48
62.7,60.1,15.4,15.1,6,48
62.8,60.1,15.5,15.1,6,48
62.8,60.1,15.6,15.1,6,48
62.9,60.1,15.6,15.1,6,48
62.9,60.1,15.6,15.1,6,48
62.9,60.1,15.6,15.1,6,48
63,60.1,15.6,15.1,6,48
62.9,59.9,15.5,15.1,6,48
63,59.9,15.6,15.1,6,48
63,59.9,15.5,15.1,6,48
63,59.9,15.6,15.1,6,48
63.1,59.9,15.6,15.1,6,48
63.1,59.9,15.5,15.1,6,48
62.9,59.9,15.5,15.1,6,48
62.9,59.9,15.6,15.1,6,48
63,59.9,15.5,15.1,6,48
62.9,59.9,15.5,15.1,6,48
62.9,59.9,15.6,15.1,6,48
63,59.9,15.5,15.1,6,47.8
63,59.9,15.5,15.1,6.1,48
63,59.9,15.5,15.1,6,48
62.9,59.9,15.5,15.1,6,48
62.9,59.9,15.6,15.1,6,48
63,59.9,15.6,15.1,6,48
62.9,59.9,15.6,15.1,6,48
63,59.9,15.6,15.1,6.1,47.7
63,59.9,15.6,15.1,6,48
63.1,59.9,15.6,15.1,6,48
63.1,59.9,15.6,15.1,6,48
63.1,59.9,15.6,15.1,6,47.8
63.1,59.9,15.5,15.1,6,47.8
63.2,59.9,15.6,15.1,6,48
63.2,59.9,15.6,15.1,6,48
63.2,59.9,15.5,15.1,6,48
63.2,59.9,15.5,15.1,6,48
63.2,59.9,15.5,15.1,6,48
63.2,59.9,15.6,15.1,6,48
63.3,59.9,15.6,15.1,6,47.8
63.2,59.9,15.5,15.1,6,48
63.3,59.9,15.5,15.1,6,48
63.2,59.9,15.5,15.1,6,48
63.3,59.9,15.5,15.1,6,48
63.3,59.9,15.5,15.1,6,48
63.2,59.9,15.4,15.1,6.1,48
63.2,59.9,15.5,15.1,6,48
63.2,59.9,15.5,15.1,6,48
63.2,59.9,15.6,15.1,6,48
63.2,59.9,15.6,15.1,6,48
63.3,59.9,15.6,15.1,6,48
63.2,59.9,15.5,15.1,6,48
63.2,59.9,15.6,15.1,6,48
63.2,59.9,15.5,15.1,6,48
63.2,59.9,15.6,15.1,6,48
63.2,59.9,15.6,15.1,6,48
63.2,59.9,15.6,15.1,6,48
63.3,60.1,15.5,15.1,6,48
63.3,60.1,15.6,15.1,6,48
63.3,60.1,15.6,15.1,6,48
63.3,60.1,15.5,15.1,6,48
63.3,60.1,15.6,15.1,6,48
63.3,60.1,15.6,15.1,6,48.1
63.4,60.1,15.6,15.1,6,48
63.4,60.1,15.6,15.1,6,48
63.3,60.1,15.6,15.1,6,48
63.3,60.1,15.6,15.1,6,48
63.3,60.1,15.6,15.1,6,48
63.4,60.1,15.6,15.1,6,48
63.3,60.1,15.6,15.1,6,48
63.3,60.1,15.6,15.1,5.9,48.1
63.3,60.1,15.5,15.1,6,47.9
63.4,60.1,15.6,15.1,6,47.9
63.3,60.1,15.6,15.1,6,48.1
63.3,60.1,15.5,15.1,6,48.1
63.4,60.1,15.6,15.1,6,48.1
63.3,60.1,15.6,15.1,6,48.1
63.3,60.1,15.6,15.1,5.9,48.1
63.4,60.1,15.6,15.1,6,48.1
63.3,60.1,15.6,15.1,6,48.1
