Thw,Thwi,Tcw,Tcwi,mc,Thwo
63.7,59.9,15.2,14.9,3,45.9
63.7,59.9,15.3,14.9,3,46.1
63.8,59.9,15.3,14.9,3,46.1
63.8,59.9,15.3,14.9,3,46.1
63.9,59.9,15.3,14.9,3,46.1
63.9,59.9,15.2,14.9,3,46.1
63.9,59.9,15.3,14.9,3,46.1
63.9,59.9,15.3,14.9,3,46.1
63.9,59.9,15.3,14.9,3,46.3
63.9,59.9,15.4,14.9,3,46.3
64,59.9,15.3,14.9,3,46.3
63.9,59.9,15.4,14.9,3,46.3
63.8,59.9,15.3,14.9,3,46.3
63.8,59.9,15.3,14.8,2.9,46.3
63.7,59.9,15.3,14.8,3,46.3
63.7,59.9,15.3,14.8,3,46.4
63.8,59.9,15.3,14.8,3,46.1
63.9,59.9,15.3,14.8,3,46.1
63.9,59.9,15.2,14.8,3,46.1
63.9,59.9,15.4,14.8,3,46.1
63.9,59.9,15.3,14.8,3,46.1
63.9,59.9,15.4,14.8,2.9,46.3
63.9,59.9,15.3,14.8,3,46.3
63.8,59.9,15.3,14.8,3,46.3
63.8,59.9,15.2,14.8,3,46.4
63.9,59.9,15.3,14.8,3,46.4
63.9,59.9,15.3,14.8,2.9,46.4
63.9,59.9,15.3,14.8,3,46.4
63.9,59.9,15.3,14.8,3,46.3
63.9,59.9,15.3,14.8,3,46.6
63.9,59.9,15.3,14.8,3,46.6
63.9,59.9,15.3,14.8,3,46.6
63.9,59.9,15.2,14.7,3,46.6
63.9,59.9,15.3,14.7,3,46.6
63.9,59.9,15.3,14.7,3,46.6
63.9,59.9,15.3,14.7,3,46.6
64,59.9,15.3,14.7,3,46.6
64,59.9,15.3,14.7,3,46.8
64,60,15.3,14.7,3,46.5
64,60,15.3,14.7,3,46.8
64,60,15.4,14.6,3,46.6
64,60,15.3,14.7,3.2,46.8
64.1,60,15.3,14.7,3,46.8
64,60,15.4,14.7,3,46.8
64.1,60,15.4,15.1,3.2,46.8
64.1,60,15.3,15.1,3,46.8
64.1,60,15.3,15.1,3,46.8
64.1,60,15.3,15.1,2.9,46.8
64.1,60,15.3,15.1,3,46.8
64.1,60,15.3,15.1,2.9,46.6
64.1,60,15.3,15.1,2.9,46.8
64.1,60,15.3,15.1,2.9,46.6
64.2,60,15.3,15.1,3,46.8
64.1,60,15.4,15.1,3,46.8
64.1,60,15.4,15.1,3,46.8
64.1,60,15.4,15.1,3,46.8
64.1,60,15.3,15.1,3,46.9
64,60,15.3,15.1,3,46.9
64,60,15.3,15.1,2.9,46.9
64.1,60,15.4,15.1,2.9,46.9
64,60,15.4,15.1,3,46.9
64.1,60,15.4,15.1,3,46.9
64.1,60,15.3,15.1,3,47
64.1,60,15.3,14.9,2.9,47
64.2,60.1,15.3,14.9,2.9,47.1
64.1,60.1,15.3,14.9,3,47.1
64.1,60.1,15.4,14.9,3,47.1
64.1,60.1,15.3,14.9,3,47.1
64.1,60.1,15.3,14.8,3,46.8
