Thw,Thwi,Tcw,Tcwi,mc,Thwo
63.6,60.2,15.2,15,3.1,50.9
63.6,60.2,15.2,15,3,50.9
63.6,60.2,15.2,15,3.1,50.9
63.6,60.2,15.2,15,3,50.9
63.6,60.2,15.2,15,3.1,50.9
63.6,60.2,15.2,15,3,50.9
63.6,60.2,15.2,15,3.1,50.9
63.7,60.2,15.3,15,3.1,50.9
63.7,60.2,15.2,15,3,51.1
63.6,60.2,15.2,15,3,50.9
63.5,60,15.2,14.8,3,50.8
63.6,60,15.2,14.8,3,50.8
63.5,60,15.2,14.8,3,50.8
63.5,60,15.2,14.8,3,50.8
63.6,60,15.2,14.8,3,50.8
63.4,60,15.1,15,3,50.8
63.5,60,15.1,15,3,50.8
63.6,60,15.2,15,3,50.6
63.6,59.9,15.2,15,3,50.6
63.6,59.9,15.3,15,3,50.6
63.6,59.9,15.2,15,3,50.6
63.5,59.9,15.2,15,3,50.8
63.6,59.9,15.1,15,3.1,50.8
63.5,59.9,15.1,15,3,50.9
63.5,59.9,15.1,15,3,50.9
63.5,59.9,15.2,15,3,50.9
63.5,59.9,15.2,15,3,50.9
63.5,59.9,15.2,15,3,50.9
63.6,59.9,15.1,15,3.1,50.9
63.5,59.9,15.2,15,3,50.9
63.5,59.9,15.2,15,3,50.9
63.5,59.9,15.3,15,3.1,50.9
63.5,60.1,15.2,15,3.1,51
63.5,60.2,15.1,15,3.1,51.4
63.5,60.2,15.2,15,3,51.4
63.5,60.2,15.2,15,3.1,51.3
63.5,60.2,15.2,15,3.1,51.3
63.5,60.2,15.2,15,3,51.3
63.5,60.2,15.2,15,3.1,51.3
63.5,60.2,15.2,15,3,51.2
63.5,60.2,15.2,15,3,51.2
63.6,60.2,15.2,15,3,51.2
63.5,60.2,15.2,15,3.1,51.2
63.5,59.9,15.1,15,3.1,51
63.5,59.9,15.1,15,3.1,51
63.4,59.9,15.2,15,3,51
63.5,59.9,15.2,15,3,51
63.5,60.2,15.2,15,3,51
63.5,59.9,15.2,15,3.1,51
63.5,59.9,15.2,15,3,51
63.5,59.9,15.2,15,3,51
63.5,59.9,15.2,15,3.1,51
63.6,59.9,15.2,15,3,51
63.5,59.9,15.2,15,3.1,51
63.5,59.9,15.2,15,3.1,51
63.5,59.9,15.2,15,3.1,51
63.5,59.9,15.1,15,3.1,51
63.5,59.9,15.2,15,3.1,51
63.5,59.9,15.1,15,3.1,51
63.6,59.9,15.2,14.8,3,51
63.5,59.9,15.2,14.8,3,51
63.5,59.9,15.2,15,3.1,50.9
63.5,59.9,15.2,15,3,50.9
63.4,59.9,15.2,14.9,3.1,50.9
63.3,59.9,15.2,14.9,3,50.9
63.4,59.9,15.1,14.9,3.1,51.2
63.5,60.1,15.1,14.9,3.1,51.2
63.4,60.1,15.2,14.9,3,51.2
63.4,60.1,15.2,14.9,3.1,51.2
63.5,60.1,15.2,14.9,3.1,51.2
63.5,60.1,15.2,14.9,3.1,51.2
63.5,60.1,15.2,14.9,3,51.2
63.5,60.1,15.2,14.9,3,51.2
63.5,60.1,15.2,14.9,3,51.2
63.5,60.1,15.2,14.9,3,51.2
63.4,60.1,15.2,14.9,3,51.2
63.5,60.1,15.2,15,3.1,51.2
63.4,60.1,15.2,15,3.1,51.2
63.4,60.1,15.2,15,3,51.2
63.4,60.1,15.2,15,3.1,51.2
63.6,60.1,15.2,15,3.1,51.2
63.5,60.1,15.2,15,3.1,51.2
63.5,60.1,15.2,15,3.1,51.2
63.5,60.1,15.2,15,3.1,51.2
63.5,60.1,15.2,15,3,51.2
63.5,60.1,15.2,15,3.1,51.2
63.4,60.1,15.2,15,3,51.2
63.4,60.1,15.2,15,3,51.2
63.4,60.1,15.2,15,3,51.2
63.4,60.1,15.2,15.1,3.1,51.2
63.5,60.1,15.2,14.9,3.1,51.2
63.4,60.1,15.2,14.9,3.1,51
63.4,60.1,15.2,14.9,3,51
63.4,60.1,15.2,14.9,3.1,51
63.4,60.1,15.2,14.9,3,51
63.4,60.1,15.2,14.9,3,51
63.4,60.1,15.2,14.9,3,51
63.4,60.1,15.2,14.9,3.1,51
63.4,60.1,15.2,14.9,3.1,51.2
63.3,60.1,15.2,14.9,3.1,51.2
63.4,60.1,15.1,14.9,3,51.2
63.4,60.1,15.2,14.9,3,51.2
63.4,60.1,15.2,14.9,3.1,51.2
63.4,60.1,15.1,14.9,3.1,51.2
63.3,60.1,15.2,14.9,3.1,51.2
63.5,60.1,15.2,14.9,3,51.2
63.3,60.1,15.2,14.9,3.1,51.2
63.4,60.1,15.2,14.9,3.1,51.2
63.3,60.1,15.2,14.9,3.1,51.2
63.4,60.1,15.2,14.9,3,51.2
63.4,60.1,15.2,14.9,3.1,51.2
63.3,60.1,15.3,14.9,3.1,51.2
63.4,60.1,15.2,14.9,3,51.2
63.4,60.1,15.3,14.9,3.1,51.2
63.4,60.1,15.2,14.9,3.1,51.2
63.3,60.1,15.2,14.9,3,51.2
63.3,60.1,15.2,14.9,3,51.2
63.3,60.1,15.2,14.9,3.1,51.2
63.3,60.1,15.2,14.9,3,51.2
63.4,60.1,15.2,14.9,3,51.2
63.4,60.1,15.2,14.9,3,51.2
63.4,60.1,15.2,14.9,3,51.2
63.4,60.1,15.3,14.9,3,51.2
63.3,60.1,15.2,14.9,3,51.2
63.3,60.1,15.1,14.9,3,51.2
63.3,60.1,15.2,14.9,3,51.1
63.3,60.1,15.2,14.9,3.1,51.1
63.3,60.1,15.3,14.9,3.1,51.1
63.3,60.1,15.2,14.9,3.1,51.1
63.4,60.1,15.2,14.9,3,51.1
63.3,60.1,15.3,14.9,3,51.1
63.3,60.1,15.2,14.9,3.1,51.1
63.3,60.1,15.2,14.9,3.1,51.1
63.3,60.1,15.2,14.9,3,51.1
63.2,60.1,15.2,15.1,3.1,51.1
63.3,60.1,15.2,15.1,3,51.1
63.2,60.1,15.2,15.1,3.1,51.1
63.2,60.1,15.2,15.1,3,51.1
63.3,60.1,15.2,15.1,3,51.1
63.3,60.1,15.2,15.1,3.1,51.1
63.3,60.1,15.2,15.1,3.1,51.2
63.3,60.1,15.3,15.1,3,51.2
