Thw,Thwi,Tcw,Tcwi,mc,Tcwo
63.7,60.2,15.2,15.1,3,41.7
63.7,60.2,15.3,15.1,3,41.7
63.7,60.2,15.2,15.1,3,41.7
63.7,60.2,15.3,15.1,3,41.7
63.7,60.2,15.2,15.1,3,41.8
63.7,60.2,15.2,15.1,3,41.8
63.7,60.2,15.2,15.1,3,41.8
63.7,59.9,15.2,15.1,3,41.8
63.7,59.9,15.2,15.1,3,41.8
63.7,59.9,15.3,15.1,3,41.8
63.7,59.9,15.3,15.1,3,41.8
63.7,59.9,15.3,15.1,3,41.8
63.7,59.9,15.2,15.1,3,41.8
63.7,59.9,15.3,15.1,3,41.8
63.7,59.9,15.4,15.1,3,41.8
63.7,59.9,15.2,15.1,3,41.8
63.7,59.9,15.3,15.1,3,41.8
63.6,59.9,15.2,15.1,3,41.8
63.7,59.9,15.3,15.1,3,41.8
63.7,59.9,15.3,15.1,3,41.8
63.7,60,15.3,15.1,3,42
63.7,60,15.3,15.1,3,42
63.7,60,15.3,15.1,3,42
63.8,60,15.4,15.1,3,42
63.8,60,15.3,15.1,3,41.8
63.7,60,15.3,15.1,3,41.8
63.7,60,15.2,15.1,3,41.8
63.6,60,15.3,15.1,3,41.8
63.7,60,15.2,15.1,3,42
63.7,60,15.3,15.1,3,41.9
63.7,60,15.2,15.1,3,41.8
63.7,60,15.3,15.1,3,41.8
63.7,60,15.3,15.1,3,41.9
63.7,60,15.3,15.1,3,41.9
63.7,60,15.2,15.1,3,41.9
63.7,60,15.3,15.1,3,41.9
63.7,60,15.3,15.1,3,41.9
63.7,60,15.2,15.1,3,41.9
63.7,60,15.3,15.1,3,41.9
63.7,60,15.2,15.1,3,41.9
63.7,60,15.2,15.1,3,41.9
63.7,60,15.3,15.1,3,41.9
63.7,60,15.4,15.1,3,41.9
63.6,60,15.3,15.1,3,41.9
63.8,60,15.4,15.1,3,41.9
63.8,60,15.3,15.1,3,41.9
63.8,60,15.3,15.1,3,41.9
63.7,60,15.3,15.1,3,41.9
63.6,60,15.3,15.1,3,41.9
63.7,60,15.3,15.1,3,41.9
63.7,60,15.3,15.1,3,41.9
63.7,60,15.3,15.1,3,41.9
63.7,60,15.3,15.1,3,41.9
63.7,60,15.2,15.1,3,41.9
63.5,60,15.2,15.1,3,41.9
63.7,60,15.2,15.1,3,41.8
63.7,60,15.3,15.1,3,41.8
63.6,60,15.3,15.1,3,41.8
63.7,60,15.3,15.1,3,41.8
63.7,60,15.3,15.1,3,41.8
63.6,60,15.3,15.1,3,41.8
63.7,60,15.3,15.1,3,41.8
63.7,60,15.3,15.1,3,41.8
63.6,60,15.2,15.1,3,41.8
63.7,60,15.3,15.1,3,41.8
63.6,60,15.2,15.1,3,41.8
63.7,60,15.2,15.1,3,41.8
63.7,60,15.3,15.1,3,41.8
63.6,60,15.3,15.1,3,41.9
63.6,60,15.3,15.1,3,41.9
63.6,60.2,15.3,15.1,3,41.9
63.7,60.2,15.2,15.1,3,41.9
63.6,59.9,15.3,15.1,3,41.9
63.7,59.9,15.2,15.1,3,41.9
63.7,59.9,15.3,14.9,2.9,41.9
63.7,59.9,15.2,14.9,3,41.9
63.7,59.9,15.3,15.1,3,41.9
63.7,59.9,15.2,15.1,3,41.7
63.7,59.9,15.3,15.1,3,41.6
63.7,59.9,15.3,15.1,3,41.6
63.8,59.9,15.3,15.1,3,41.6
