Thw,Thwi,Tcw,Tcwi,mc,Tcwo
64.1,59.9,15.3,14.8,3,41.8
64,59.9,15.2,14.8,3,41.8
64.1,59.9,15.2,14.8,3,41.8
64.1,59.9,15.4,14.6,3,41.9
64,60.1,15.3,14.6,3,41.9
64,60.1,15.3,14.6,3,42.1
64,60.1,15.2,14.8,3,42.1
64,60.1,15.2,14.8,3,42.1
64,60.1,15.2,14.8,3,42.1
64,60.1,15.2,14.8,3,42.1
64,60.1,15.2,14.8,3,42.2
64,60.1,15.2,14.8,3,42.1
64,60.1,15.2,14.8,3,42.1
64,60.1,15.2,14.8,3,42.3
64,60.1,15.3,14.8,3,42.3
64,60.1,15.2,14.8,3,42.3
64,60.1,15.3,14.8,3,42.3
64.1,60.1,15.3,14.8,3,42.3
64,60.1,15.2,14.8,3,42.3
64,60.1,15.2,14.8,3,42.4
64.1,60.1,15.2,14.8,3,42.4
64,60.3,15.3,14.8,3,42.4
64,60.3,15.3,14.8,3,42.4
64,60.3,15.3,14.8,3,42.3
64.1,60.3,15.2,14.8,3,42.4
64.2,60.3,15.3,14.8,3,42.2
64,60.3,15.3,14.8,3,42.4
64,60.3,15.3,14.8,3,42.6
64,60.3,15.2,14.8,3,42.6
64.1,60.3,15.2,14.8,3,42.6
64,60.3,15.3,14.8,3,42.6
64.1,60.3,15.2,14.8,3,42.5
64,60.3,15.3,14.8,3,42.5
64.1,60.3,15.3,14.8,3,42.7
64.1,60.3,15.3,14.8,3,42.7
64,60.3,15.2,14.8,3,42.7
64,60.3,15.2,14.8,3,42.7
64,60.1,15.3,14.8,3,42.9
64,60.1,15.3,14.8,3,42.9
64.1,59.9,15.3,14.8,3,42.9
64,59.9,15.2,14.8,3,42.9
64,59.9,15.2,14.8,3,42.9
64,59.8,15.3,14.8,3,42.9
64,59.8,15.3,14.8,3,42.9
64,59.8,15.2,14.8,3,42.9
64,59.8,15.3,14.8,3,42.9
64.1,59.8,15.3,14.8,3,42.9
64,59.8,15.3,14.8,3,42.9
64.1,59.8,15.3,14.8,3,43
64.1,59.9,15.2,14.8,3,43
64,59.9,15.3,14.8,3,43
64,59.9,15.3,14.8,3,43
