Thw,Thwi,Tcw,Tcwi,mc,Thwo
63.7,60.2,15.2,15.1,3,48
63.7,60.2,15.3,15.1,3,48
63.7,60.2,15.2,15.1,3,48
63.7,60.2,15.3,15.1,3,48
63.7,60.2,15.2,15.1,3,48.1
63.7,60.2,15.2,15.1,3,48.1
63.7,60.2,15.2,15.1,3,48.1
63.7,59.9,15.2,15.1,3,48.1
63.7,59.9,15.2,15.1,3,48.1
63.7,59.9,15.3,15.1,3,48.1
63.7,59.9,15.3,15.1,3,48.1
63.7,59.9,15.3,15.1,3,48.1
63.7,59.9,15.2,15.1,3,48.1
63.7,59.9,15.3,15.1,3,48.1
63.7,59.9,15.4,15.1,3,48.1
63.7,59.9,15.2,15.1,3,48.1
63.7,59.9,15.3,15.1,3,48.1
63.6,59.9,15.2,15.1,3,48.3
63.7,59.9,15.3,15.1,3,48
63.7,59.9,15.3,15.1,3,48
63.7,60,15.3,15.1,3,48
63.7,60,15.3,15.1,3,48
63.7,60,15.3,15.1,3,48
63.8,60,15.4,15.1,3,48
63.8,60,15.3,15.1,3,48.3
63.7,60,15.3,15.1,3,48.1
63.7,60,15.2,15.1,3,48.1
63.6,60,15.3,15.1,3,48.1
63.7,60,15.2,15.1,3,48.1
63.7,60,15.3,15.1,3,48.1
63.7,60,15.2,15.1,3,48.1
63.7,60,15.3,15.1,3,48.1
63.7,60,15.3,15.1,3,48.1
63.7,60,15.3,15.1,3,48.1
63.7,60,15.2,15.1,3,48.1
63.7,60,15.3,15.1,3,48.1
63.7,60,15.3,15.1,3,48.1
63.7,60,15.2,15.1,3,48.1
63.7,60,15.3,15.1,3,48.1
63.7,60,15.2,15.1,3,48.3
63.7,60,15.2,15.1,3,48.3
63.7,60,15.3,15.1,3,48.3
63.7,60,15.4,15.1,3,48.1
63.6,60,15.3,15.1,3,48.1
63.8,60,15.4,15.1,3,48.1
63.8,60,15.3,15.1,3,48.1
63.8,60,15.3,15.1,3,48.2
63.7,60,15.3,15.1,3,48.2
63.6,60,15.3,15.1,3,48.2
63.7,60,15.3,15.1,3,48.2
63.7,60,15.3,15.1,3,48.1
63.7,60,15.3,15.1,3,48.1
63.7,60,15.3,15.1,3,48.1
63.7,60,15.2,15.1,3,48.2
63.5,60,15.2,15.1,3,48.3
63.7,60,15.2,15.1,3,48.3
63.7,60,15.3,15.1,3,48.3
63.6,60,15.3,15.1,3,48.3
63.7,60,15.3,15.1,3,48.3
63.7,60,15.3,15.1,3,48.3
63.6,60,15.3,15.1,3,48.3
63.7,60,15.3,15.1,3,48.3
63.7,60,15.3,15.1,3,48.3
63.6,60,15.2,15.1,3,48.3
63.7,60,15.3,15.1,3,48.3
63.6,60,15.2,15.1,3,48.3
63.7,60,15.2,15.1,3,48.3
63.7,60,15.3,15.1,3,48.3
63.6,60,15.3,15.1,3,48.3
63.6,60,15.3,15.1,3,48.3
63.6,60.2,15.3,15.1,3,48.3
63.7,60.2,15.2,15.1,3,48.3
63.6,59.9,15.3,15.1,3,48.3
63.7,59.9,15.2,15.1,3,48.3
63.7,59.9,15.3,14.9,2.9,48
63.7,59.9,15.2,14.9,3,48
63.7,59.9,15.3,15.1,3,48
63.7,59.9,15.2,15.1,3,48.1
63.7,59.9,15.3,15.1,3,48
63.7,59.9,15.3,15.1,3,48
63.8,59.9,15.3,15.1,3,48
63.7,59.9,15.3,15.1,2.9,48
63.6,59.9,15.4,15.1,3,48
63.7,59.9,15.2,15.1,3,48.3
63.7,59.9,15.3,15.1,3,48.3
63.7,60,15.3,15.1,3,48.3
63.7,60,15.3,15.1,2.9,48.3
63.7,60,15.2,15.1,2.9,48.3
63.7,60,15.3,15.1,2.9,48.3
63.7,60,15.3,15.1,3,48.3
63.7,60,15.3,14.9,3,48.3
63.8,60,15.3,15.1,3.1,48.3
63.6,60,15.3,15.1,3,48.3
63.7,60,15.3,15.1,3,48.3
63.7,60,15.2,15.1,3,48.3
63.7,60,15.3,15.1,3,48.3
63.7,60.2,15.2,15.1,3,48.3
63.7,60.2,15.2,14.9,3,48.3
63.6,60.2,15.2,14.9,3,48.3
63.7,60.2,15.3,14.9,3,48.3
63.7,60.2,15.2,14.9,3,48.3
63.7,60.2,15.3,15.1,3,48.3
63.7,60.1,15.3,15.1,3,48.3
63.6,60.1,15.3,14.9,3,48.3
63.6,60.1,15.2,14.9,3,48.3
63.6,59.9,15.4,15.1,3,48.5
63.6,59.9,15.2,15.1,3,48.5
63.6,59.9,15.2,15.1,3,48.5
63.7,59.9,15.3,14.9,3,48.5
63.6,59.9,15.3,14.9,3,48.5
63.7,59.9,15.3,14.9,3,48.4
63.6,59.9,15.3,14.9,3,48.4
63.6,59.9,15.2,14.9,3,48.6
63.6,59.9,15.2,14.9,3,48.6
63.6,59.9,15.3,14.9,2.9,48.6
63.6,60.1,15.3,14.9,3,48.1
63.6,60.1,15.3,14.9,3,48.6
63.6,60.1,15.4,14.9,3,48.6
63.6,60.1,15.3,14.9,2.9,48.6
