Thw,Thwi,Tcw,Tcwi,mc,Tcwo
63.7,59.9,15.2,14.9,3,39.5
63.7,59.9,15.3,14.9,3,39.5
63.8,59.9,15.3,14.9,3,39.5
63.8,59.9,15.3,14.9,3,39.5
63.9,59.9,15.3,14.9,3,39.5
63.9,59.9,15.2,14.9,3,39.7
63.9,59.9,15.3,14.9,3,39.7
63.9,59.9,15.3,14.9,3,39.8
63.9,59.9,15.3,14.9,3,39.8
63.9,59.9,15.4,14.9,3,39.8
64,59.9,15.3,14.9,3,39.8
63.9,59.9,15.4,14.9,3,40
63.8,59.9,15.3,14.9,3,40
63.8,59.9,15.3,14.8,2.9,40.2
63.7,59.9,15.3,14.8,3,40.2
63.7,59.9,15.3,14.8,3,40.2
63.8,59.9,15.3,14.8,3,40.2
63.9,59.9,15.3,14.8,3,40.2
63.9,59.9,15.2,14.8,3,40.2
63.9,59.9,15.4,14.8,3,40.2
63.9,59.9,15.3,14.8,3,40.2
63.9,59.9,15.4,14.8,2.9,40.2
63.9,59.9,15.3,14.8,3,40.2
63.8,59.9,15.3,14.8,3,40.2
63.8,59.9,15.2,14.8,3,40.2
63.9,59.9,15.3,14.8,3,40.2
63.9,59.9,15.3,14.8,2.9,40.2
63.9,59.9,15.3,14.8,3,40.2
63.9,59.9,15.3,14.8,3,40.2
63.9,59.9,15.3,14.8,3,40.2
63.9,59.9,15.3,14.8,3,40.2
63.9,59.9,15.3,14.8,3,40.4
63.9,59.9,15.2,14.7,3,40.4
63.9,59.9,15.3,14.7,3,40.4
63.9,59.9,15.3,14.7,3,40.7
63.9,59.9,15.3,14.7,3,40.5
64,59.9,15.3,14.7,3,40.5
64,59.9,15.3,14.7,3,40.5
64,60,15.3,14.7,3,40.7
64,60,15.3,14.7,3,40.7
64,60,15.4,14.6,3,40.7
64,60,15.3,14.7,3.2,40.7
64.1,60,15.3,14.7,3,40.7
64,60,15.4,14.7,3,40.9
64.1,60,15.4,15.1,3.2,40.7
64.1,60,15.3,15.1,3,40.7
64.1,60,15.3,15.1,3,40.7
64.1,60,15.3,15.1,2.9,40.7
64.1,60,15.3,15.1,3,40.9
64.1,60,15.3,15.1,2.9,40.9
64.1,60,15.3,15.1,2.9,40.9
64.1,60,15.3,15.1,2.9,40.9
64.2,60,15.3,15.1,3,40.9
64.1,60,15.4,15.1,3,40.9
64.1,60,15.4,15.1,3,40.9
64.1,60,15.4,15.1,3,41.1
64.1,60,15.3,15.1,3,41.1
64,60,15.3,15.1,3,41.1
64,60,15.3,15.1,2.9,41.1
64.1,60,15.4,15.1,2.9,41.1
64,60,15.4,15.1,3,41.1
64.1,60,15.4,15.1,3,41.1
64.1,60,15.3,15.1,3,41.2
64.1,60,15.3,14.9,2.9,41.2
64.2,60.1,15.3,14.9,2.9,41.3
64.1,60.1,15.3,14.9,3,41.4
64.1,60.1,15.4,14.9,3,41.3
64.1,60.1,15.3,14.9,3,41.3
64.1,60.1,15.3,14.8,3,41.3
64.1,60.1,15.3,15.1,3,41.3
64,60.1,15.4,14.9,3,41.3
64.1,60.1,15.4,15.1,3,41.3
64.1,60.1,15.4,14.9,3,41.3
64.2,60.1,15.4,14.9,2.9,41.3
64.2,60.1,15.4,14.9,3,41.3
64.1,60.1,15.4,14.9,3,41.3
64.1,60.1,15.3,14.9,3,41.3
64,60.1,15.3,14.9,3,41.3
64.2,60.1,15.4,14.9,2.9,41.3
64.1,60.1,15.4,14.9,3,41.3
64.2,60.1,15.4,14.9,2.9,41.3
64.2,60.1,15.3,14.9,3,41.3
64.1,60.1,15.4,14.9,3,41.3
64.2,60.2,15.4,14.9,2.9,41.3
64.1,60.2,15.4,14.9,3,41.3
64.1,60.2,15.5,14.9,3,41.3
64.1,60.2,15.4,14.9,3,41.3
64.1,60.2,15.4,14.9,2.9,41.3
64.2,60.2,15.4,14.9,3,41.3
64.1,60.2,15.5,14.9,3,41.3
64.1,60.2,15.4,14.9,3,41.3
64.2,60.2,15.5,14.9,3,41.3
64.2,60.2,15.4,14.9,3,41.3
64.2,60.2,15.4,14.9,3,41.3
64.3,60.2,15.4,14.9,3,41.3
64.2,60.2,15.5,14.9,3,41.3
64.3,60.2,15.6,14.9,3,41.1
64.2,60.2,15.4,14.9,3,41.1
64.3,60.2,15.4,14.9,3,41.1
64.2,60.2,15.4,14.9,3,41.4
64.3,60.2,15.6,14.9,3,41.4
64.1,60.1,15.5,14.9,3,41.4
64.2,60.1,15.5,14.9,3,41.3
64.2,60.1,15.5,14.9,3,41.4
64.2,59.9,15.4,14.9,3,41.4
64.2,59.9,15.5,14.9,3,41.3
64.2,59.9,15.5,14.9,3,41.3
64.2,59.9,15.6,14.9,3,41.3
64.2,59.9,15.6,14.9,3,41.3
64.3,59.9,15.6,14.9,3,41.1
64.2,59.9,15.7,14.9,3,41.1
64.2,59.9,15.5,14.9,3,41.3
64.2,59.9,15.6,14.9,3,41.1
64.2,60.1,15.6,14.9,3,41.3
64.2,60.1,15.4,14.9,3,41.1
64.2,60.1,15.5,14.9,3,41.3
64.2,60.1,15.5,14.9,3,41.2
64.2,60.1,15.5,14.9,3,41.2
64.2,60.1,15.7,14.9,3,41.3
64.2,60.1,15.6,14.9,3,41.3
64.2,60.1,15.6,14.9,2.9,41.3
64.2,60.3,15.7,14.9,3,41.1
64.3,60.3,15.7,14.9,3,41.2
64.3,59.9,15.8,14.9,3,41.2
64.2,59.9,15.8,14.9,3,41.2
64.2,59.9,15.8,14.9,3,41.2
64.3,59.9,15.7,14.9,3,41.2
64.2,59.9,15.9,14.9,3,41.2
64.2,59.9,15.8,14.9,3,41.2
64.2,59.9,15.8,14.9,3,41.2
64.2,59.9,15.8,14.9,3,41.2
64.2,59.9,15.7,14.9,3,41.2
64.2,59.9,15.8,14.9,3,41.2
64.2,59.9,15.8,14.9,3,41.2
64.2,59.9,15.7,14.9,3,41.2
64.2,59.9,15.8,14.9,3,41.1
